チョコ(レート)?	%match%おいしいよね|食べ過ぎると太るよ！
天気	明日晴れるといいなー|雨はいやだなー|天気がいいと鳥も気持ちよさそうだね|いい天気はいい気持ち|天気はどうかな
挨拶	大事だよー
あいさつ	大事だよー
月	5月は新緑の季節
新緑	5月は新緑の季節
季節	5月は新緑の季節
鳥	天気がいいと鳥も気持ちよさそうだね
雨	雨はいやだね|雨は気持ちよくないってことだよ|雨が降ってるよ|雨は上がったみたい|雨が気持ちいいときもあるよ|午後雨が降って寒かったよ|雨はこもらないよ|今は雨は降っていないよ
いや	雨はいやだね|暑いのもいやだね
気持ち	いい天気はいい気持ち
お腹	お腹が空いた|暖かくてお腹がいっぱいだと幸せになれるよ|ご飯をお腹いっぱい食べて布団でうとうとするのもいいよね|お腹を食べちゃ駄目だよ|お腹にこもるのは駄目だね|お腹へったの？
幸せ	暖かくてお腹がいっぱいだと幸せになれるよ
辺り	辺りを見てみようか
何	何を食べようか|食べたい物は何かな|何が見えるかな|何が好物なのかな
元気	元気よく行こう|元気かな？
外	外を見ようよ|外で体を動かすのが大事だよ
家	家にこもってちゃダメだよ
ダメ	家にこもってちゃダメだよ
カメ	カメはゆっくり|カメがカメを食べちゃ駄目だよ
駄目	カメがカメを食べちゃ駄目だよ|お腹を食べちゃ駄目だよ|お腹にこもるのは駄目だね|こもるのは駄目だね
体	体を動かすのも大事だよね|外で体を動かすのが大事だよ
大事	体を動かすのも大事だよね|外で体を動かすのが大事だよ
ご飯	ご飯をお腹いっぱい食べて布団でうとうとするのもいいよね|どんなご飯が食べたいの
布団	ご飯をお腹いっぱい食べて布団でうとうとするのもいいよね
好物	何が好物なのかな
それ	それは弱ったな
人	困った人には親切にしよう
親切	困った人には親切にしよう
